ticker symbol,correlation coefficient,time shift
NU,1,3
NU,-1,5
DOUG,1,6
GBLL,1,2
GBLL,1,4
AXH,-1,2
VCXB-UN,-1,5
ECC-PD,-1,2
PSA-PS,1,5
NU,0.9998551051,6
PSA-PS,-0.9992400226,1
NPFD,0.9831865662,6
CNDB,0.9704014539,5
GRBK-PA,-0.9691834552,5
DOUG,-0.9680497663,5
EFC-PB,0.9458983988,5
VCXB-UN,0.925310985,4
ONL,-0.9212215054,2
GBLL,-0.9197082299,3
ZGN,-0.8804434708,6
BBAI,0.867083374,1
CRGY,-0.8641903309,5
IOT,-0.8297833814,4
ZGN,0.820375807,3
CINT,0.7584907525,5
IOT,-0.7371128756,5
NU,0.7356451456,2
CRGY,-0.7290870847,1
TGH-PB,-0.7230276386,2
NU,-0.7167967548,1
BROS,0.7134429523,0
GRBK-PA,0.7022957761,3
GBLL,-0.7006285351,1
IHS,-0.6867919867,2
ONL,0.6867172761,0
PSA-PS,0.6829547556,0
CION,-0.6799649716,1
IOT,0.6679713428,0
BBAI,0.6668234909,4
BWNB,-0.6547818963,3
GRBK-PA,-0.6506200138,0
BKKT,0.645082947,0
BBAI,-0.6184643443,6
WEAV,-0.6103365027,5
WRBY,0.6058154208,4
ESMT,-0.6022713775,4
ONON,0.592704074,0
EFC-PB,-0.5895695985,6
TDCX,-0.587680479,3
ZGN,0.5854118829,5
BBAI,-0.5816825771,0
CINT,-0.5691705657,4
GWH,0.5635306982,2
ZVIA,-0.5633479754,2
WE,-0.5614591113,4
WE,0.5561070695,5
BXSL,0.5499602722,5
WE,0.540704019,3
DTC,0.5402066102,2
BOXD,-0.536924901,2
ONON,0.5346318059,2
GWH,-0.532270324,6
LTH,0.5173086113,3
BAC-PQ,-0.5162866318,1
MS-PO,-0.5154108573,1
CBL,0.5086247897,1
BKKT,0.5085418593,5
DOCS,0.5031877097,5
CWAN,-0.5007448551,1
