ticker symbol,correlation coefficient,time shift
GALA-USD,-0.9673212376,5
WBTC-USD,0.7271001283,0
BTCB-USD,0.6911875657,0
GALA-USD,-0.5208784101,6
OSMO-USD,0.4739665314,0
MIOTA-USD,0.4698313085,0
NEO-USD,0.4503543251,0
ADA-USD,0.4301698719,0
FTT-USD,0.4289947535,0
MINA-USD,0.4132536259,0
BCH-USD,0.4132428397,0
ETH-USD,0.4109922952,0
GALA-USD,0.4067709924,3
XMR-USD,0.400124269,0
DFI-USD,0.3949803177,0
MINA-USD,-0.3925260944,1
CRO-USD,0.3900513683,0
OSMO-USD,0.3815378617,5
EOS-USD,0.3726208993,0
LUNA1-USD,0.351110493,0
DASH-USD,0.3509032477,0
FLOW-USD,-0.3498762223,3
HT-USD,0.3445144154,0
MKR-USD,0.3421416038,0
XLM-USD,0.3419965237,0
WBTC-USD,-0.3399464343,1
AMP-USD,0.3315572853,2
VET-USD,0.3303326527,0
STETH-USD,0.3296965518,0
TONCOIN-USD,-0.3283811156,1
XRP-USD,0.3201650345,0
ZEC-USD,0.3142587114,0
GRT1-USD,0.312559646,0
BSV-USD,0.3039238993,0
BNB-USD,0.3007166646,0
UNI1-USD,0.2978737245,0
WBNB-USD,0.2969706611,0
ETC-USD,0.2967249885,0
FLOW-USD,0.2963466665,0
THETA-USD,0.2958878534,0
LRC-USD,0.2919802133,0
BTCB-USD,-0.2885200581,1
NEAR-USD,0.2805115652,6
STETH-USD,0.2779390653,6
XEM-USD,0.2774610104,0
ENJ-USD,0.2700881401,0
CAKE-USD,0.2633290412,0
XMR-USD,-0.2543175478,1
CCXX-USD,-0.2527645656,6
NEXO-USD,0.247779488,0
RUNE-USD,-0.2467895892,1
KDA-USD,0.244188909,0
AAVE-USD,-0.2417442034,1
XTZ-USD,0.23849243,0
FLOW-USD,0.2357055949,4
MANA-USD,0.2354198677,0
BAT-USD,0.2345087997,0
MATIC-USD,0.2337933184,0
XLM-USD,-0.2283176153,1
DOT-USD,0.2232278228,0
GALA-USD,0.2227628725,0
CHZ-USD,0.2206349562,0
OSMO-USD,-0.2200899942,2
CRV-USD,-0.2180942882,1
LINK-USD,0.2157393121,0
NEAR-USD,-0.2154437753,3
EGLD-USD,0.2120224614,2
LUNA1-USD,-0.2098441856,1
DFI-USD,-0.2096680461,3
GALA-USD,-0.2062772961,4
FLOW-USD,0.2061841835,2
STETH-USD,-0.2043411277,5
BSV-USD,-0.2009928759,1
CRV-USD,0.1998179889,0
FIL-USD,0.1961286693,0
MATIC-USD,-0.196082479,1
