,orig_index,Datetime,Tweet Id,Text,Username,tweet_len,tweet_num,score,magnitude,google_language,google_entities,google_categories
0,0,2022-01-30 23:01:01+00:00,1.48792383555072e+18,The Mayor’s office confirmed that his first gross paycheck of would be converted into Bitcoin and Ethereum as crypto markets crashed ,business,133,,,,,,
1,1,2022-01-29 01:47:04+00:00,1.4872408475067471e+18,New York State delayed a decision on whether to allow operations to continue at a power plant used for Bitcoin mining ,business,118,1.0,-0.5,0.5,en,"OTHER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
2,2,2022-01-28 17:06:48+00:00,1.4871099168714342e+18," : Meta, Facebook’s parent company, tried to build a global digital currency that was better than Bitcoin. Why did it fail? Tune in: ",business,133,2.0,-0.2000000029802322,1.0,en,"OTHER,ORGANIZATION",
3,3,2022-01-27 20:25:08+00:00,1.486797441445896e+18,"Sixth time's still not the charm: A U.S. regulator rejected yet another proposal for an ETF that would directly hold Bitcoin, dimming hopes of the sought-after product getting cleared anytime soon ",business,197,3.0,-0.800000011920929,0.800000011920929,en,"OTHER,WORK_OF_ART,ORGANIZATION,LOCATION,CONSUMER_GOOD",/Finance/Investing
4,4,2022-01-27 19:13:04+00:00,1.486779308899242e+18,"Six major Bitcoin miners get letters from Congress demanding details on power consumption, climate impact ",business,106,4.0,-0.1000000014901161,0.1000000014901161,en,"PERSON,OTHER,WORK_OF_ART,ORGANIZATION,NUMBER",
5,5,2022-01-27 16:38:06+00:00,1.4867403085242532e+18,Texas Governor Greg Abbott is eyeing a counterintuitive approach to shoring up the state electricity supply: adding more energy-sucking bitcoin miners to the grid ,business,163,5.0,-0.5,0.5,en,"OTHER,PERSON,LOCATION",/News
6,6,2022-01-27 14:30:15+00:00,1.4867081360063652e+18,"There’s big money to be made in cryptocurrency, but a billionaire investor can get swindled just as easily as a newbie buying a tiny sliver of a single Bitcoin. Despite their volatility, the digital assets are becoming more widely traded, used and held. ",nytimes,254,6.0,0.0,0.2000000029802322,en,"PERSON,OTHER",/Finance/Investing/Currencies & Foreign Exchange
7,7,2022-01-27 09:39:09+00:00,1.4866348759899914e+18,Bitcoin. Blockchain. Web3. Make sense of it all with our new crypto newsletter. Sign up here ,business,93,7.0,0.2000000029802322,1.100000023841858,en,"OTHER,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
8,8,2022-01-27 06:00:11+00:00,1.48657977215522e+18,Bitcoin has tracked the sharp fluctuations of traditional markets this year as the link between cryptocurrencies and mainstream financial assets tightens ,FinancialTimes,154,8.0,0.4000000059604645,0.4000000059604645,en,OTHER,/Finance/Investing/Currencies & Foreign Exchange
9,9,2022-01-27 04:54:09+00:00,1.4865631554049024e+18,"Global bonds succumb to losses, including in New Zealand, Hong Kong and Australia. Oil dips, gold extends a decline and Bitcoin — whose fortunes have been tightly correlated with stocks of late — wavers around the level ",business,220,9.0,-0.3000000119209289,0.699999988079071,en,"OTHER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
