ticker symbol,correlation coefficient,time shift
WBTC-USD,0.7604340086,0
NU,1,3
NU,-1,5
DOUG,1,6
ABR-PF,-1,7
GBLL,1,2
GBLL,1,4
AXH,-1,2
CXAC-UN,1,7
ECC-PD,-1,2
CXAC-UN,-1,8
PSA-PS,1,5
NU,0.9998551051,6
PSA-PS,-0.9992400226,1
NPFD,0.9831847385,6
CNDB,0.9704014539,5
GRBK-PA,-0.9691834552,5
DOUG,-0.9680497663,5
PSA-PS,0.9629962652,9
NU,-0.9513255824,9
EFC-PB,0.9458983988,5
ONL,-0.9212215054,2
GBLL,-0.9197082299,3
IOT,0.9106032986,9
PSA-PS,-0.9046867645,8
ZGN,-0.8804434708,6
BBAI,0.867083374,1
DOUG,-0.8642338435,8
CRGY,-0.8641903309,5
NU,-0.8548338483,7
ZGN,0.8394245355,7
CIAN,0.83935171,9
IOT,-0.8297833814,4
NPFD,-0.8204075554,7
ZGN,0.820375807,3
SONX,0.8001100193,8
INFA,-0.7653551233,9
CINT,0.7584907525,5
WRBY,0.7523929154,8
VLN,0.7519156777,7
KIND,0.7513685892,9
IOT,-0.7371128756,5
NU,0.7356451456,2
CRGY,-0.7290870847,1
BEPI,0.7275552476,8
BEPI,-0.7263739941,2
TGH-PB,-0.718465798,2
NU,-0.7167967548,1
BROS,0.7134429523,0
ALL-PB,-0.7110378022,2
GRBK-PA,0.7048012649,9
GRBK-PA,0.7022957761,3
GBLL,-0.7006285351,1
BBAI,0.6931656068,9
IHS,-0.6867919867,2
ONL,0.6867172761,0
TCN,0.6854176398,7
PSA-PS,0.6829547556,0
ONL,0.6809866493,7
LTH,0.6750763595,8
HFRO-PA,0.6710399436,5
IOT,0.6679713428,0
BBAI,0.6668234909,4
ZGN,0.661898746,9
CION,-0.6551095137,1
BWNB,-0.6547818963,3
GRBK-PA,-0.6506200138,0
INFA,0.6469968044,8
BKKT,0.645082947,0
PSA-PI,-0.6439801386,7
KIND,-0.6270891246,8
SG,0.6198201146,8
BBAI,-0.6184643443,6
NU,0.6145755365,8
USER,-0.6111638449,8
WEAV,-0.6103365027,5
WRBY,0.6058154208,4
BBAI,0.603217657,7
ESMT,-0.6022713775,4
GDV-PK,0.6005791642,5
ONON,0.592704074,0
EFC-PB,-0.5895695985,6
TDCX,-0.587680479,3
ZGN,0.5854118829,5
USER,0.5828646794,9
BBAI,-0.5816825771,0
GPMT-PA,0.5795819859,3
BKKT,0.5775154588,8
ECC-PD,0.5774168687,7
FBRT,-0.5734193497,8
CINT,-0.5691705657,4
BEPI,0.566460845,4
GWH,0.5635306982,2
ZVIA,-0.5633479754,2
VLN,-0.5631677758,8
WE,-0.5614591113,4
NMAI,0.5604883386,9
ALL-PB,-0.560040908,5
ARIS,-0.5593754125,7
CBL,-0.5589838598,8
BOXD,0.5572271955,9
WE,0.5561070695,5
BXSL,0.549961302,5
ONL,-0.5495013673,8
TCN,-0.5484507005,8
WEAV,0.5463430153,9
SG,-0.5459995709,9
WE,0.540704019,3
DTC,0.5402066102,2
BOXD,-0.536924901,2
HPP-PC,0.5367626985,7
ONON,0.5346318059,2
GWH,-0.532270324,6
CINT,-0.5319240012,7
KD,-0.5220622707,8
ALL-PB,0.5194035768,6
LTH,0.5173086113,3
DOLE,-0.5172518076,8
BAC-PQ,-0.5162944981,1
MS-PO,-0.5154100902,1
ECC-PD,0.5145165971,8
COOK,-0.5128320064,9
ZGN,-0.5126727587,8
BAC-PQ,-0.5102906687,8
